date,host,video_id,offset,ist,underlying,option,setup,entry,sl,target1,target2,exit,result_pts,outcome,verified,notes
2026-07-15,chinmay,DmPpZPOBuNA,00:20:00,09:19,SENSEX,77500 PE,range-breakout-direct,,,,,,~-58,loss,said,Three morning stop-losses on the same PE before the eventual entry worked; his 12:58 recap lists 19 + 29 + 10 pts and at 12:44 he said twice we frankly got trapped on early breakout pokes; logged as one aggregated row
2026-07-15,chinmay,DmPpZPOBuNA,03:50:00,12:49,SENSEX,77500 PE,pullback-first-green-candle,~286,~268,375,,583,~297,win,frame,"At 12:49 he said this was the pullback entry he had hunted all morning (box entry ~283-287); he advised major booking near 375 then trailed 457 > 583 at 12:56 with price 591-597; the 12:57 candle shows H668.10 L550.15 with live 600.35 so his later ""599/660"" trails were at or above price; exit taken at the 583 trail; his recap called the full move 386 pts and said nobody sits through all of it; outlier trade on a Sensex expiry"
2026-07-15,chinmay,DmPpZPOBuNA,04:49:00,13:48,SENSEX,77000 CE,base-reversal-aggressive-or-confirm,302.09,299.49,334.65,375,334.65,32.6,win,frame,Named a sniper zone 272-278 and waited for a strong confirming candle after a liquidity sweep; the 13:49 frame box shows entry 302.09 SL 299.49 target 334.65 (the agent's 278 entry was the zone not the fill); the 14:10 candle printed H337.60 clearing the target; 375 never confirmed; viewer fills read from chat (295 / 304 / 310) were not used
2026-07-16,chinmay,U-VHSEbmW5Y,00:22:00,09:20,SENSEX,77700 PE,base-reversal-aggressive-or-confirm,326.70,288.30,415.05,452.90,415.05,88.35,win,frame,Pin-bar entry at a defended pre-open zone; box entry 326.70 SL 288.30 target 415.05; at 09:36 he said the second zone at 455 was also done so T1 415.05 was cleared; runner target 452.90 not used
2026-07-16,chinmay,U-VHSEbmW5Y,01:34:00,10:32,SENSEX,77200 CE,breakout-close-confirm,250.15,~239.30,300.55,,300.55,50.4,win,frame,"He planned the call only if it sustained above 240 with a 12-13 pt stop; the 10:47 frame box shows entry 250.15 stop ~239.30 target 300.55 with live 294.95; the 11:07 frame shows live 345.80 above the target; the ""330 pe pura exit"" line at 10:54 was a viewer comment so the box target is used (not the agent's +90)"
2026-07-16,chinmay,U-VHSEbmW5Y,01:52:00,10:50,NIFTY,unspecified,telegram-vip-call,,,,,,,unclear,unverified,Nifty VIP Telegram call narrated as breaking out; strike and premium never stated and never charted - no points logged
2026-07-16,chinmay,U-VHSEbmW5Y,03:55:00,12:53,SENSEX,77700 PE,trend-re-entry,~333.10,~322,~394.40,434,~394.40,~61,win,frame,Fresh smaller base re-entry after the morning runner faded with an 11 pt risk; at 12:59 he said the target was hit in a single candle; 394.41 live on the 13:00 frame
2026-07-16,chinmay,U-VHSEbmW5Y,04:36:00,13:34,SENSEX,77700 PE,trend-re-entry,~465,~460,~544,,,,unclear,frame,He rejected a pullback needing a 30 pt stop and waited for a smaller structure; a box near 465 with target 544; the candle reached 504.20 then faded to 487.85 by 13:53 with no booking or stop stated - no points logged
2026-07-16,chinmay,U-VHSEbmW5Y,05:03:00,14:01,SENSEX,77700 PE,trend-re-entry,~380,~365,444,517,444,47,win,frame,Fresh re-entry at the 380-365 zone he had plotted; at 14:22 he said it moved 47 pts from the entry and the 444 first target was hit exactly; the 14:21 frame shows a 444.25 high with live 443.63
2026-07-17,chinmay,5wgTKROoOhc,00:34:00,09:33,NIFTY,24200 CE,telegram-vip-call,123,,,,,,unclear,unverified,Telegram VIP call (buy 123) recapped on stream; he claimed it reached 170 in his 14:01 recap but no frame shows the outcome - no points logged
2026-07-17,chinmay,5wgTKROoOhc,00:40:00,09:39,NIFTY,24000 CE,breakout-close-confirm,~256,~249,,,,,unclear,frame,Entry once price held above the 254-256 zone after a 235-256 barcode squeeze; SL trailed 245 then 249; rolled to 24150 CE near 10:18 with price 279-300 and no exit stated; a Closed P&L -11.70 box on that frame does not match the live price and looks like a stale drawing
2026-07-17,chinmay,5wgTKROoOhc,00:46:00,09:45,NIFTY,24200 CE,telegram-vip-call,~120,,,,,,unclear,unverified,Second Telegram VIP call (entry ~120) recapped at 14:01 as reaching 140; never charted and no outcome frame - no points logged
